Feature,Coefficient
const,0.0
loan_amount,-0.11414879431738466
loan_to_value_ratio,0.1286540909821838
interest_rate,0.23211382917613035
total_loan_costs,0.037060110481136034
origination_charges,0.04349549674687073
loan_term,0.0
property_value,0.031779752999697736
income,0.005613983946585268
tract_population,0.0
tract_minority_population_percent,-0.00022451685963046798
ffiec_msa_md_median_family_income,0.008320164304754452
tract_to_msa_income_percentage,-0.009855944638159822
tract_owner_occupied_units,0.0072399680652159805
tract_one_to_four_family_homes,-0.007763014065967563
tract_median_age_of_housing_units,0.004292964971272611
conforming_loan_limit_NC,-0.0004210210234261364
derived_loan_product_type_Conventional:Subordinate Lien,-0.0015174381704746475
derived_loan_product_type_FHA:First Lien,0.21611249657769516
derived_loan_product_type_FSA/RHS:First Lien,0.014091735596242251
derived_loan_product_type_VA:First Lien,-0.06485485619393114
derived_dwelling_category_Single Family (1-4 Units):Site-Built,-0.004115557370807725
derived_ethnicity_Ethnicity Not Available,0.0019163560855676644
derived_ethnicity_Hispanic or Latino,-0.0
derived_ethnicity_Joint,-0.001435480859921315
derived_race_2 or more minority races,0.0017675324418365134
derived_race_American Indian or Alaska Native,-0.0
derived_race_Asian,0.007111432915626456
derived_race_Black or African American,0.009909167762650807
derived_race_Joint,-0.0003223871142316983
derived_race_Native Hawaiian or Other Pacific Islander,-0.0
derived_race_Race Not Available,0.0035059941985519753
derived_sex_Female,-0.00028840759877334353
derived_sex_Joint,-0.012561208872188784
derived_sex_Sex Not Available,-0.005601373381364459
"purchaser_type_Commercial bank, savings bank, or savings association",-0.005477217163871504
"purchaser_type_Credit union, mortgage company, or finance company",0.0012865799291585996
purchaser_type_Fannie Mae,-0.0
purchaser_type_Freddie Mac,-0.008608204696010473
purchaser_type_Ginnie Mae,-0.00034202583088981987
purchaser_type_Life insurance company,0.0004645141407172736
purchaser_type_Not applicable,0.021783760736117895
purchaser_type_Other type of purchaser,0.0013470661849343652
purchaser_type_Private securitizer,-0.0009976659087160807
preapproval_Preapproval requested,-0.00038845461601713286
loan_type_Federal Housing Administration insured (FHA),0.0006251734574691912
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),5.464760005494516e-05
loan_type_Veterans Affairs guaranteed (VA),-0.0017750733513127168
lien_status_Secured by a subordinate lien,-0.0
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.0
hoepa_status_Not a high-cost mortgage,-0.0026339436734628867
hoepa_status_Not applicable,0.0
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,-0.0013237208716287124
balloon_payment_No balloon payment,0.0
other_nonamortizing_features_No other non-fully amortizing features,0.0
construction_method_Site-built,-0.0
manufactured_home_secured_property_type_Not applicable,-0.0
manufactured_home_land_property_interest_Not applicable,-0.0
total_units_2,0.00535434652447177
total_units_3,0.0031911849315092574
total_units_4,-0.000292318691588082
debt_to_income_ratio_30%-<36%,0.006759787626214864
debt_to_income_ratio_36,0.005652709084909052
debt_to_income_ratio_37,0.007891757651314066
debt_to_income_ratio_38,0.0062367337034872836
debt_to_income_ratio_39,0.009722067761509032
debt_to_income_ratio_40,0.010026366728039726
debt_to_income_ratio_41,0.010259824248497465
debt_to_income_ratio_42,0.011289802131271386
debt_to_income_ratio_43,0.01247222987836632
debt_to_income_ratio_44,0.014090327630032635
debt_to_income_ratio_45,0.005233191575185064
debt_to_income_ratio_46,0.003769416756509626
debt_to_income_ratio_47,0.004708935267172846
debt_to_income_ratio_48,0.004648858537098618
debt_to_income_ratio_49,0.005123978549118784
debt_to_income_ratio_50%-60%,0.005652358183473994
debt_to_income_ratio_<20%,-0.003409945487878516
debt_to_income_ratio_>60%,0.0021591688343503865
applicant_credit_score_type_Experian Fair Isaac,0.002546951530229172
applicant_credit_score_type_FICO Risk Score Classic 04,0.0018829144525889492
applicant_credit_score_type_FICO Risk Score Classic 98,0.0004625419942395262
applicant_credit_score_type_More than one credit scoring model,-6.329609384811965e-05
applicant_credit_score_type_Not applicable,-0.007549278737541601
applicant_credit_score_type_Other credit scoring model,-0.0018357225828240153
applicant_credit_score_type_VantageScore 2.0,0.005195024244341887
applicant_credit_score_type_VantageScore 3.0,0.0027470246726443845
co-applicant_credit_score_type_Experian Fair Isaac,0.0024814564232062946
co-applicant_credit_score_type_FICO Risk Score Classic 04,0.0016304051478262095
co-applicant_credit_score_type_FICO Risk Score Classic 98,-0.00020991911198067813
co-applicant_credit_score_type_More than one credit scoring model,0.003121251075683698
co-applicant_credit_score_type_No co-applicant,0.0007819615857965154
co-applicant_credit_score_type_Not applicable,-0.0028461862318957033
co-applicant_credit_score_type_Other credit scoring model,0.0009829960702767784
co-applicant_credit_score_type_VantageScore 2.0,0.0013863487195575046
co-applicant_credit_score_type_VantageScore 3.0,0.002888713831968389
applicant_ethnicity-1_Hispanic or Latino,0.016463416305494492
"applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",0.0031465574032060253
co-applicant_ethnicity-1_Hispanic or Latino,0.0076422232218505415
"co-applicant_ethnicity-1_Information not provided by applicant in mail, internet, or telephone application",-0.003976577626441613
co-applicant_ethnicity-1_No co-applicant,0.0
co-applicant_ethnicity-1_Not applicable,0.0024996303129689126
applicant_ethnicity_observed_Not applicable,0.018563052974075223
applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,0.0010694716580203294
co-applicant_ethnicity_observed_No co-applicant,0.0
co-applicant_ethnicity_observed_Not applicable,-0.0007064680747374201
co-applicant_ethnicity_observed_Not collected on the basis of visual observation or surname,0.014302984568029508
applicant_race-1_American Indian or Alaska Native,0.00045001713224705287
applicant_race-1_Asian,-0.006988071049205796
applicant_race-1_Black or African American,0.008901880582225656
"applicant_race-1_Information not provided by applicant in mail, internet, or telephone application",0.0014529015434494139
applicant_race-1_Native Hawaiian or Other Pacific Islander,0.0010077019805012008
applicant_race-1_Not applicable,-6.769756274129512e-05
co-applicant_race-1_American Indian or Alaska Native,-0.0009184739846081032
co-applicant_race-1_Asian,0.00439831772919654
