Feature,Coefficient
const,5.136895195489353
loan_amount,0.08581792204274508
loan_to_value_ratio,-0.3446852961040021
loan_term,0.0
property_value,0.029028459098686246
income,-0.07457622857344137
tract_population,-0.07615376070672365
tract_minority_population_percent,0.04361766975018939
ffiec_msa_md_median_family_income,0.38881375655348954
tract_to_msa_income_percentage,-0.13019427045476223
tract_owner_occupied_units,-0.05601894883600131
tract_one_to_four_family_homes,0.15533896996392046
tract_median_age_of_housing_units,-0.009454589941748795
conforming_loan_limit_NC,-0.027178990042304597
derived_loan_product_type_Conventional:Subordinate Lien,-0.004334758763883626
derived_loan_product_type_FHA:First Lien,-0.06752527404482436
derived_loan_product_type_FHA:Subordinate Lien,0.0
derived_loan_product_type_FSA/RHS:First Lien,0.0
derived_loan_product_type_VA:First Lien,0.0038231504354969475
derived_dwelling_category_Single Family (1-4 Units):Site-Built,0.012016984034333501
derived_ethnicity_Ethnicity Not Available,0.2158287514935679
derived_ethnicity_Hispanic or Latino,0.3927557976567927
derived_ethnicity_Joint,0.023813295178867124
derived_race_2 or more minority races,-0.012584558745239015
derived_race_American Indian or Alaska Native,0.013159587138823006
derived_race_Asian,-0.011613888777582992
derived_race_Black or African American,-0.0383800368667733
derived_race_Joint,-0.15535963840786535
derived_race_Native Hawaiian or Other Pacific Islander,0.007092702652933885
derived_race_Race Not Available,-0.43755592714089697
derived_sex_Female,-0.018881088742011064
derived_sex_Joint,0.17559969545006635
derived_sex_Sex Not Available,-0.022112736152421736
"purchaser_type_Commercial bank, savings bank, or savings association",0.5989236454758103
"purchaser_type_Credit union, mortgage company, or finance company",0.6562496117060868
purchaser_type_Fannie Mae,0.22566780158962318
purchaser_type_Farmer Mac,0.0
purchaser_type_Freddie Mac,0.042788317521632147
purchaser_type_Ginnie Mae,0.44084609356731735
purchaser_type_Life insurance company,0.0
purchaser_type_Not applicable,-1.973886733425623
purchaser_type_Other type of purchaser,0.17691152243336153
purchaser_type_Private securitizer,-0.05272342143258119
preapproval_Preapproval requested,0.04513861513755158
loan_type_Federal Housing Administration insured (FHA),-0.06764358972129395
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0
loan_type_Veterans Affairs guaranteed (VA),0.0038231504354969475
lien_status_Secured by a subordinate lien,-0.0046549747827519345
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.07224038577856207
open-end_line_of_credit_Open-end line of credit,-0.07224038577856198
hoepa_status_Not a high-cost mortgage,1.4965812101834672
hoepa_status_Not applicable,-1.6763068612468728
negative_amortization_No negative amortization,0.010326190797077866
interest_only_payment_No interest-only payments,-0.0035274738533859987
balloon_payment_No balloon payment,0.0361869717311745
other_nonamortizing_features_Other non-fully amortizing features,-0.03853989370814103
construction_method_Site-built,0.012016984034333501
manufactured_home_secured_property_type_Manufactured home and not land,0.0
manufactured_home_secured_property_type_Not applicable,0.012016984034333501
manufactured_home_land_property_interest_Not applicable,0.012016984034333501
total_units_2,-0.003570048330597948
total_units_3,0.014807208003681753
