Feature,Coefficient
const,4.325822737989563
loan_amount,0.0
loan_to_value_ratio,-0.08675968755071775
loan_term,0.0
property_value,0.0
income,0.0
tract_population,0.0
tract_minority_population_percent,0.12314896499818444
ffiec_msa_md_median_family_income,0.05637836270753846
tract_to_msa_income_percentage,0.0
tract_owner_occupied_units,0.0
tract_one_to_four_family_homes,0.0
tract_median_age_of_housing_units,0.0
conforming_loan_limit_NC,-0.010624502195672668
derived_loan_product_type_Conventional:Subordinate Lien,0.0
derived_loan_product_type_FHA:First Lien,0.0
derived_loan_product_type_FHA:Subordinate Lien,-0.002784473599967071
derived_loan_product_type_FSA/RHS:First Lien,0.0
derived_loan_product_type_VA:First Lien,0.0
derived_dwelling_category_Single Family (1-4 Units):Site-Built,0.0
derived_ethnicity_Ethnicity Not Available,0.0
derived_ethnicity_Hispanic or Latino,0.3534348271422115
derived_ethnicity_Joint,-0.031588068922396136
derived_race_2 or more minority races,0.0
derived_race_American Indian or Alaska Native,-0.022000754553792787
derived_race_Asian,-0.05447651639015985
derived_race_Black or African American,0.0
derived_race_Joint,0.0
derived_race_Native Hawaiian or Other Pacific Islander,-0.005087640099898463
derived_race_Race Not Available,-0.09495267084244381
derived_sex_Female,-0.017782935282905116
derived_sex_Joint,0.0361649911614762
derived_sex_Sex Not Available,0.0
"purchaser_type_Commercial bank, savings bank, or savings association",0.4537732860365091
"purchaser_type_Credit union, mortgage company, or finance company",0.6431138299155155
purchaser_type_Fannie Mae,0.0
purchaser_type_Farmer Mac,0.0
purchaser_type_Freddie Mac,0.25451993063751704
purchaser_type_Ginnie Mae,0.0
purchaser_type_Life insurance company,0.0
purchaser_type_Not applicable,-2.096579402334682
purchaser_type_Other type of purchaser,0.05908707772339325
purchaser_type_Private securitizer,0.0
preapproval_Preapproval requested,0.10740024767675668
loan_type_Federal Housing Administration insured (FHA),-0.003963167566252581
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0
loan_type_Veterans Affairs guaranteed (VA),0.0
lien_status_Secured by a subordinate lien,-0.018705039595593984
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Open-end line of credit,-0.20938235852685635
hoepa_status_Not a high-cost mortgage,1.418874827631571
hoepa_status_Not applicable,-1.4924128681243363
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,-0.051747075371909396
balloon_payment_No balloon payment,0.03737033023768406
other_nonamortizing_features_Other non-fully amortizing features,0.0
construction_method_Site-built,0.0
manufactured_home_secured_property_type_Manufactured home and not land,0.0
manufactured_home_secured_property_type_Not applicable,0.0
manufactured_home_land_property_interest_Indirect ownership,0.004802967073960708
manufactured_home_land_property_interest_Not applicable,0.0
manufactured_home_land_property_interest_Paid leasehold,-0.005423160167791789
total_units_2,-0.02014264060998343
total_units_3,-0.04669398977422079
total_units_4,-0.018491105432270914
