Feature,Coefficient
const,4.8221512231005885
loan_amount,0.0
loan_to_value_ratio,0.0
loan_term,0.0
property_value,0.1103448924368043
income,-0.1944441627135367
tract_population,0.0
tract_minority_population_percent,0.1463053967936608
ffiec_msa_md_median_family_income,0.21502066869584183
tract_to_msa_income_percentage,0.015889845950447446
tract_owner_occupied_units,0.0038972931609883342
tract_one_to_four_family_homes,0.04172608813646184
tract_median_age_of_housing_units,0.0
conforming_loan_limit_NC,0.09580382171424034
derived_loan_product_type_Conventional:Subordinate Lien,0.030179410989399302
derived_loan_product_type_FHA:First Lien,-0.07775154516842664
derived_loan_product_type_FHA:Subordinate Lien,0.0
derived_loan_product_type_FSA/RHS:First Lien,0.0
derived_loan_product_type_VA:First Lien,-0.012267993484023876
derived_dwelling_category_Single Family (1-4 Units):Site-Built,0.00934980218317186
"purchaser_type_Commercial bank, savings bank, or savings association",0.45192815836869005
"purchaser_type_Credit union, mortgage company, or finance company",0.27823688499652105
purchaser_type_Fannie Mae,0.1520401491638932
purchaser_type_Freddie Mac,0.023281309209763963
purchaser_type_Ginnie Mae,0.7232368295691558
purchaser_type_Life insurance company,0.0
purchaser_type_Not applicable,-2.1996812942084407
purchaser_type_Other type of purchaser,0.6916430689301946
purchaser_type_Private securitizer,-0.03224253927595238
preapproval_Preapproval requested,0.19259301290337036
loan_type_Federal Housing Administration insured (FHA),-0.07788820130522678
loan_type_USDA Rural Housing Service or Farm Service Agency guaranteed (RHS or FSA),0.0
loan_type_Veterans Affairs guaranteed (VA),-0.012267993484023876
lien_status_Secured by a subordinate lien,0.029215927440025838
reverse_mortgage_Not a reverse mortgage,0.0
open-end_line_of_credit_Not an open-end line of credit,0.05926779403574897
open-end_line_of_credit_Open-end line of credit,-0.12913714494413311
hoepa_status_Not a high-cost mortgage,1.4356398137036108
hoepa_status_Not applicable,-1.4831517361821027
negative_amortization_No negative amortization,0.0
interest_only_payment_No interest-only payments,-0.0646636681222684
balloon_payment_No balloon payment,0.0
other_nonamortizing_features_Other non-fully amortizing features,0.04046162572345267
construction_method_Site-built,0.00934980218317186
manufactured_home_secured_property_type_Not applicable,0.00934980218317186
manufactured_home_land_property_interest_Not applicable,0.00934980218317186
total_units_2,-0.06208711314899296
total_units_3,-0.03487701723006356
total_units_4,0.00925714021576832
debt_to_income_ratio_30%-<36%,0.010357096097064568
debt_to_income_ratio_36,0.10682429206283242
debt_to_income_ratio_37,0.029415643583657784
debt_to_income_ratio_38,-0.034531293144231506
debt_to_income_ratio_39,0.07517516811075359
debt_to_income_ratio_40,0.07438988693655545
debt_to_income_ratio_41,0.07848335438792188
debt_to_income_ratio_42,0.03747941190111373
debt_to_income_ratio_43,-0.07394201162808059
debt_to_income_ratio_44,-0.048877560472024045
debt_to_income_ratio_45,-0.15922121082670432
debt_to_income_ratio_46,-0.1301822520788459
debt_to_income_ratio_47,-0.1332312390616033
debt_to_income_ratio_48,-0.09282343754388156
debt_to_income_ratio_49,-0.0757532439735115
debt_to_income_ratio_50%-60%,-0.4539618278485453
debt_to_income_ratio_<20%,-0.09627363244818901
debt_to_income_ratio_>60%,-0.4550705014227594
debt_to_income_ratio_Exempt,0.027602332157735592
applicant_credit_score_type_Exempt,0.0
applicant_credit_score_type_Experian Fair Isaac,-0.01745157163375654
applicant_credit_score_type_FICO Risk Score Classic 04,-0.1172882201881588
applicant_credit_score_type_FICO Risk Score Classic 98,0.0
applicant_credit_score_type_More than one credit scoring model,-0.11016617642206014
